isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978000651308,0006513085,gravity,,tess gerritsen,science fiction,emma watson a research physician has been training for the mission of a lifetime to study living organisms in the microgravity of space but the true and lethal nature of the experiment has not been revealed to nasa and once aboard the space station things start to go wrong a culture of singlecelled archaeons gathered from the deep sea begin to rapidly multiply and infect the crew  with deadly and agonising results as her estranged husband and ground crew at nasa work against the clock to launch a rescue emma stuggles to contain the lethal microbe but with the contagion threatening earths population there are those who would leave the astronauts stranded in orbit quarantined aboard the station,2004.0,4.04,342.0,8024.0
978000651464,0006514642,the wise woman,,philippa gregory,great britain,alone and vulnerable alys joins a nunnery in an attempt to escape poverty but finds herself thrown back into the outside world when henry viiis wreckers destroy her sanctuary with nothing but her looks her magic and her own instinctive cunning alys has to tread a perilous path between the faith of her childhood and her own female power when she falls in love with hugo the feudal lord and another womans husband she dips into witchcraft to defeat her rival and to win her lover only to find that magic makes a poor servant but a dominant master since heresy against the new church means the stake and witchcraft the rope alyss danger is mortal a womans powers are not longer safe to use,2002.0,3.31,640.0,6583.0
978000651485,0006514855,girls night in,,jessica adamschris manbyfiona walker,american fiction,girls night in features stories about growing up growing out of moving out moving on falling apart and getting it all together so turn off your cell phone and curl up on the couch this is one girls night in you wont want to miss,2000.0,3.26,586.0,140.0
978000654586,0006545866,the white album,,joan didion,american essays,this collection of essays recounts what took place on the long morning after the 1960s when everyone was coming down from their particular bad trip didion observes the dramas that explode as america goes into collective detox the mother abandoning her fiveyearold daughter on the central reservation of interstate 5 huey newton and the black panthers preaching from their cells students in unconscious parody simulating the disaffection of the 1960s,1993.0,4.17,224.0,91.0
978000655043,0006550436,the bonesetters daughter,,amy tan,china,tells the story of three generations of chinese women beginning at the turn of the century,2001.0,3.98,352.0,414.0
978000655139,0006551394,the lexus and the olive tree,,thomas l friedman,capitalism,half of this new postcold war world is intent on building a better lexus on streamlining their societies and economies for the global marketplace while the other half is locked in elemental struggles over who owns which olive tree which strip of land,2000.0,3.59,352.0,87.0
978000655181,0006551815,tis,A Memoir,frank mccourt,ireland,from the pulizer prizewinning author of the 1 new york times bestseller angelas ashes frank mccourts glorious childhood memoir angelas ashes  has been loved and celebrated by readers everywhere it won the national book critics circle award the los angeles times book award and the pulitzer prize rarely has a book so swiftly found its place on the literary landscape and now we have tis  the story of franks american journey from impoverished immigrant to brilliant teacher and raconteur frank lands in new york at age nineteen and gets a job at the biltmore hotel where he immediately encounters the vivid hierarchies of this classless country and then is drafted into the army and is sent to germany to train dogs and type reports it is franks incomparable voice that renders these experiences spellbinding when frank returns to america in 1953 he works on the docks always resisting what everyone tells him he knows that he should be getting an education and though he left school at fourteen he talks his way into new york university there he falls in love with the quintessential yankee and tries to live his dream but it is not until he starts to teach that frank finds his place in the world,2000.0,3.68,495.0,44179.0
978000664600,000664600X,ocean star express,,mark haddonpeter sutton,juvenile fiction,joe and his parents are enjoying a summer holiday by the sea at the ocean star hotel the sky is bright blue the sun shines and joe loves all that the seaside has to offer but when the fog rolls in and rain falls joe begins to wish that he was back at home again things change however when the owner of the hotel invites joe to share in a magical world only a few steps away the loft is black as night but then above joes head a thousand tiny stars begin to sparkle and in the distance he hears the chugchugchug of a model train a whole world is soon to open up before joes eyes a world of snowcapped mountains great deserts and rocking fishing boats,2002.0,3.5,32.0,1.0
978000675489,0006754899,a small pinch of weather,And Other Stories,joan aiken,childrens stories english,a magical and fantastic collection of early stories by one of the most original childrens authors of the 20th century for 811 year olds,2000.0,4.27,239.0,116.0
978000690601,000690601X,the princess of the chalet school,,elinor mary brentdyer,juvenile fiction,,2000.0,4.1,159.0,446.0
