isbn13,isbn10,title,subtitle,authors,categories,description,published_year,average_rating,num_pages,ratings_count
978067172287,0671722875,shakespeares sonnets,,helen huntwilliam shakespeare,drama,presents a collection of 154 of shakespeares sonnets and includes detailed notes on the sonnets and an overview of shakespeares life and literary impact,2004.0,4.25,391.0,670.0
978067172779,0671727796,the color purple,,alice walker,fiction,the lives of two sistersnettie a missionary in africa and celie a southern woman married to a man she hatesare revealed in a series of letters exchanged over thirty years,1985.0,4.19,295.0,425928.0
978067172820,0671728202,night of the fox,,jack higgins,fiction,when an american officer who knows the time and place of the dday invasion disappears in germanoccupied jersey the allies choose harry martineau to direct the rescue mission,1991.0,3.91,352.0,4808.0
978067173142,0671731424,wolfs hour,,robert mccammon,fiction,this book is a remarkable tale of pulsepounding excitement with a uniquely sympathetic fascinating portrait of the werewolf as nobel warriorand conflicted being complex compelling and utterly real,1990.0,4.05,603.0,8478.0
978067173246,0671732463,journey to ixtlan,,carlos castaneda,body mind  spirit,drawing from his tenyear apprenticeship in sorcery the author discusses the philosophy and teachings of his instructor a yaqui indian,1991.0,4.13,272.0,8139.0
978067173247,0671732471,second ring of power,,carlos castaneda,fiction,transformed by don juan from a bent grayhaired old woman into a sensual sorceress whose mission is to test castaneda dona soledad turns her mysterious and awesome powers against castaneda in a struggle that nearly consumes him,1991.0,4.02,328.0,2692.0
978067173248,067173248X,power of silence,,carlos castaneda,fiction,carlos recollects more of the teachings of don juan including the true importance and meaning of sorcery and magic and the illusory nature of all realities,1991.0,4.21,288.0,2189.0
978067173250,0671732501,fire from within,,carlos castaneda,body mind  spirit,the author depicts his instruction by the sorcerer don juan in the mystical religious concepts and practices of the mexican indians,1984.0,4.13,304.0,2477.0
978067173252,0671732528,tales of power,,carlos castaneda,fiction,carlos is taught his last lessons by don juan before he and don genaro disappear including the concepts of naugal and tonal and the ways of the impeccable warrior,1992.0,4.15,304.0,4405.0
978067173776,0671737767,stinger,STINGER,robert mccammon,fiction,in the remote texas town of inferno a creature of evil beyond anything the world has ever encountered descends he traps the town and ravages the land with grisly executions and horrible mutations    until the people rise up in a final desperate battle from the author of swan song original,1988.0,3.87,538.0,5715.0
978067173916,0671739166,the story of philosophy,,will durant,biography  autobiography,examines the history of speculative thought by focusing on such dominant personalities as plato bacon spinoza kant schopenhauer and nietzsche,1991.0,4.11,704.0,10039.0
978067174103,0671741039,swan song,,robert mccammon,fiction,an ancient evil roams the desolate landscape of an america ravaged by nuclear war he is the man with the scarlet eye a malevolent force that feeds on the dark desires of the countless followers he has gathered into his service his only desire is to find a special child named swan  and destroy her but those who would protect the girl are determined to fight for what is left of the worldand their souls in a wasteland born of rage populated by monstrous creatures and marauding armies the last survivors on earth have been drawn into the final battle between good and evil that will decide the fate of humanity,1987.0,4.28,956.0,44348.0
978067174251,0671742515,long dark teatime of the soul,,douglas adams,fiction,when a passenger checkin desk shoots through the roof of a terminal at heathrow airport in flames dirk gently investigates the cosmic forces at play,1990.0,4.06,307.0,65988.0
978067174305,0671743058,boys life,,robert mccammon,fiction,the witnesses to a horrific murder cory mackenson and his father investigate and come face to face with the vicious blaylock clan a secret society united by racial hatred and a reptilian creature inhabiting the river reissue,1992.0,4.35,580.0,17365.0
978067176379,0671763792,joy within,,joan goldsteinmanuela soares,body mind  spirit,carefully avoiding and particular religious or spiritual point of view this book offers a practical stepbystep guide to meditation for beginners it explains what meditation is and details its many benefits including inner peace stress reduction relaxation and joy illustrated,1990.0,4.38,144.0,8.0
978067176991,067176991X,mystery walk,,robert r mccammon,fiction,as billy creekmore and wayne falconer two young men with remarkable psychic gifts learn to use their powers they and their world are threatened by the machinations of their elusive nightmarish enemy the shape changer reissue,1992.0,3.87,432.0,2242.0
978067177130,0671771302,justine,,lawrence durrell,,,1969.0,3.9,253.0,44.0
978067177162,0671771620,the hidden persuaders,,vance packard,advertising,,1958.0,3.89,242.0,14.0
978067177467,0671774670,best stories,,hugh garner,,,1971.0,3.68,465.0,18590.0
978067179280,0671792806,principle centered leadership,,stephen r covey,business  economics,the author invites business readers to center their professional lives around principles of excellence and quality and discusses the six conditions of effectiveness and the patterns of organizational excellence,1992.0,4.09,336.0,14453.0
978067179356,067179356X,in the name of love,Ann Rule's Crime Files,ann rule,literary criticism,a collection of true crime cases includes the case of jerry harris a selfmade millionaire whose disappearance prompted his wifes eightyear search for answers,1998.0,4.03,414.0,1308.0
978067179566,067179566X,star trek the next generation nightshade,,laurell k hamilton,fiction,newly reissued the exciting star trek novel from new york times bestselling author laurell k hamilton after 200 years of civil war the planet oriana is dying most of the surface vegetation is gone the air is almost unbreathable and the population is nearly extinct the two warring factions have finally agreed to talk peace and captain picard and the uss enterprise are sent to help them negotiate a settlement picard lt worf and counsellor troi beam down to oriana just as the enterprise is called away on another urgent mission alone on the planet the uss enterprise team learns that there are people who would rather finish the devastating conflict than talk peace now worf and troi must prevent planetwide disaster before time runs out,1992.0,3.48,276.0,1139.0
978067179786,0671797867,scar lover,,harry crews,fiction,in a dozen novels and his nonfiction books and articles harry crews has shown himself to be a true american original with scar lovers he returns to the familiar unmistakable crews territorya southern landscape peopled by quirky odd and oddly appealing individualsto explore the realities of redemption and the power of love without boundries of fear,1993.0,3.78,288.0,776.0
978067182012,0671820125,end zone,,don delillo,fiction,,1973.0,3.64,200.0,2099.0
978067182349,0671823493,the good earth,,pearl sydenstricker buck,china,a story of a chinese peasant and his passionate dogged accumulation of land and more land while weathering famine and drought and revolution,1958.0,3.98,260.0,54.0
978067185405,0671854054,star trek,"Log Seven, Log Eight, Log Nine, Log Ten",alan dean foster,,four exciting stories taken from the log books of the uss enterprise  the counterclock incident the eye of the beholder bem and slaver weapon,1995.0,3.71,788.0,21.0
978067186742,0671867423,lincoln at gettysburg,The Words that Remade America,garry wills,history,an account of lincolns revolutionary speech describes how in the space of 272 words the president brought to bear the rhetoric of the greek revival the categories of transcendentalism and the imagery of the rural cemetary movement,1992.0,4.13,317.0,119.0
978067187699,0671876996,forever after,,roger zelazny,fiction,the heroes of a millenniumlong battle against the forces of evil prepare to enjoy life after winning the war unaware that they have unearthed four mantic objects whose combined powers unleash chaos throughout the world original,1995.0,3.71,291.0,232.0
978067187766,0671877666,the ship avenged,,s m stirling,fiction,hoping to settle old scores with the kolnari who destroyed her home and with an unscrupulous uncle joat is challenged to overcome a breakout disease that destroys its victims minds and is threatening the entire universe,1997.0,4.06,364.0,3155.0
978067187778,067187778X,the free bards,,lackey,fiction,comines the stories of rune the greatest violinist who played the ghost of skull hill to sleep robin who must recruit the ghost to aid their cause and nightingale who joins forces with tfyrr a nonhuman with the face of a raptor,1997.0,4.18,712.0,1517.0
978067187884,0671878840,berserkers,The Beginning,fred saberhagen,fiction,complete at last in one volumethe beginning of the war against the berserkers the death machines are programmed to destroy all life in the galaxy but one branch of galactic humanity descended from a world called earth stands in the way,1998.0,3.73,377.0,226.0
978067188236,0671882368,what jane austen ate and charles dickens knew,From Fox Hunting to Whist-the Facts of Daily Life in Nineteenth-Century England,daniel pool,education,essays provide a view of british life during the nineteenth century,1994.0,3.85,416.0,4749.0
978067188717,0671887173,daily reflections for highly effective people,Living THE SEVEN HABITS OF HIGHLY SUCCESSFUL PEOPLE Every Day,stephen r covey,business  economics,provides a daily reading program that keys on the authors guidelines to personal fulfillment and success and offers inspiration insights and motivational guidance,1994.0,3.9,384.0,328.0
978067400205,0674002059,seamus heaney,,helen hennessy vendler,literary criticism,poet and critic are well met as one of our best writers on poetry takes up one of the worlds great poets whereas other books on the nobel laureate seamus heaney have dwelt chiefly on the biographical geographical and political aspects of his writing this book looks squarely and deeply at heaneys poetry as art,2000.0,4.08,208.0,60.0
978067400672,0674006720,american tragedy,"Kennedy, Johnson, and the Origins of the Vietnam War",david e kaiser,history,documents the origin of american involvement in the vietnam war and how the policies in the eisenhower kennedy and johnson administrations led to war,2000.0,3.5,576.0,29.0
978067400820,0674008200,this craft of verse,,jorge luis borgescalin andrei mihailescu,literary criticism,transcribed from recently discovered tapes this work stands as a deeply personal yet farreaching introduction to the pleasures of the word and as a firsthand testimony to the life of literature 1 halftone,2002.0,4.31,160.0,778.0
978067401829,067401829X,the gardens of emily dickinson,,judith farrlouise carter,architecture,explores how emily dickinsons devotion to gardening is intertwined with her vocation as a poet demonstrating that more than a third of her poems allude to her flowers and how her love of gardening shaped her choice of metaphors,2005.0,3.86,350.0,50.0
978067402257,0674022572,rebeccas revival,,jon f sensbach,biography  autobiography,the remarkable story of rebecca protten a caribbean slave who helped inspire the rise of black christianity in the atlantic world is revealed in this account of her evangelical efforts on three continents,2005.0,3.68,302.0,125.0
978067402287,0674022874,the writer of modern life,Essays on Charles Baudelaire,walter benjamin,literary criticism,in these essays benjamin challenges the image of baudelaire as lateromantic dreamer and evokes instead the modern poet caught in a lifeordeath struggle with the forces of the urban commodity capitalism that had emerged in paris around 1850,2006.0,4.3,307.0,262.0
978067402385,0674023854,iron kingdom,"The Rise and Downfall of Prussia, 1600-1947",christopher m clarkuniversity christopher clark md,history,in the aftermath of world war ii prussiaa centuriesold state pivotal to europes developmentceased to exist in their eagerness to erase all traces of the third reich from the earth the allies believed that prussia the very embodiment of german militarism had to be abolished but as christopher clark reveals in this pioneering history prussias legacy is far more complex though now a fading memory in europes heartland the true story of prussia offers a remarkable glimpse into the dynamic rise of modern europe what we find is a kingdom that existed nearly half a millennium ago as a patchwork of territorial fragments with neither significant resources nor a coherent culture with its capital in berlin prussia grew from being a small poor disregarded medieval state into one of the most vigorous and powerful nations in europe iron kingdom traces prussias involvement in the continents foundational religious and political conflagrations from the devastations of the thirty years war through centuries of political machinations to the dissolution of the holy roman empire from the enlightenment of frederick the great to the destructive conquests of napoleon and from the iron and blood policies of bismarck to the creation of the german empire in 1871 and all that implied for the tumultuous twentieth century by 1947 prussia was deemed an intolerable threat to the safety of europe what is often forgotten clark argues is that it had also been an exemplar of the european humanistic tradition boasting a formidable government administration an incorruptible civil service and religious tolerance clark demonstrates how a state deemed the bane of twentiethcentury europe has played an incalculable role in western civilizations fortunes iron kingdom is a definitive gripping account of prussias fascinating influential and critical role in modern times,2006.0,4.14,776.0,2413.0
978067403501,0674035011,ancilla to the presocratic philosophers,"A Complete Translation of the Fragments in Diels, Fragmente Der Vorsokratiker",mary fittkathleen freeman,philosophy,this book is a complete translation of the fragments of the presocratic philosophers given in the fifth edition of diels fragmente der vorsokratiker,1983.0,4.22,172.0,46.0
978067421518,0674215184,doubling the point,Essays and Interviews,professor of general literature j m coetzeej m coetzee,literary criticism,nadine gordimer has written of jm coetzee that his vision goes to the nervecentre of being what he finds there is more than most people will ever know about themselves and he conveys it with a brilliant writers mastery of tension and elegance doubling the point takes the reader to the center of that vision these essays and interviews documenting coetzees longtime engagement with his own culture and with modern culture in general constitute a literary autobiography,1992.0,4.04,438.0,81.0
978067426858,067426858X,ethics and the limits of philosophy,,bernard williams,philosophy,toward the goal of reorienting ethics away from rigid systems and toward the individual a noted philosopher criticizes systematic moral theory from kant on and elucidates a provocative alternate view,1985.0,4.05,230.0,520.0
978067426863,0674268636,the ethics of authenticity,,charles taylor,philosophy,everywhere we hear of decline of a world that was better before the influence of modernity while some lament western cultures slide into relativism and nihilism and others celebrate the trend as a liberating sort of progress taylor calls on us to face the moral and political crises of our time and to make the most of modernitys challenges,1992.0,3.9,152.0,630.0
978067429503,067429503X,the fate of reason,German Philosophy from Kant to Fichte,frederick c beiser,philosophy,the fate of reason is the first general history devoted to the period between kant and fichte one of the most revolutionary and fertile in modern philosophy the philosophers of this time broke with the two central tenets of the modem cartesian tradition the authority of reason and the primacy of epistemology they also witnessed the decline of the aufkldrung the completion of kants philosophy and the beginnings of postkantian idealism thanks to beiser we can newly appreciate the influence of kants critics on the development of his philosophy beiser brings the controversies and the personalities who engaged in them to life and tells a story that has uncanny parallels with the debates of the present,1993.0,4.49,410.0,109.0
978067461876,0674618769,new worlds ancient texts,The Power of Tradition and the Shock of Discovery,anthony graftonnancy g siraisiapril shelford,history,on encountering what he called the indies the jesuit jose de acosta wrote having read what poets and philosophers write of the torrid zone i persuaded myself that when i came to the equator i would not be able to endure the violent heat but it turned out otherwise what could i do then but laugh at aristotles meteorology and his philosophy acostas experience echoes that of his fellow travelers to the new world and it is this experience with its profound effect on western culture that anthony grafton charts describing an era of exploration that went far beyond geographic bounds this book shows how the evidence of the new world shook the foundations of the old upsetting the authority of the ancient texts that had guided europeans so far afield the intellectual shift mapped out here a movement from book learning to empirical knowledge did not take place easily or quickly and grafton presents it in all its drama and complexity what he recounts is in effect a war of ideas fought sometimes unwittingly by mariners scientists publishers scholars and rulers over one hundred fifty years he shows us explorers from cortes and columbus to scaliger and munster laden with ideas gathered from ancient and medieval texts in their encounters with the world at large in colorful vignettes firsthand accounts published debates and copious illustrations we see these men and their contemporaries trying to make sense of their discoveries as they sometimes confirm sometimes contest and finally displace traditional images and notions of the world beyond europe the fundamental cultural revolution that grafton documents still reverberates in our time by taking us into thisbattle of books versus facts a conflict that has shaped global views for centuries grafton allows us to reexperience and understand the renaissance as it continues to this day,1992.0,3.58,296.0,70.0
978067463712,0674637127,the art of shakespeares sonnets,,helen vendler,literary criticism,analyzes all of shakespeares sonnets in terms of their poetic structure semantics and use of sounds and images,1999.0,4.3,692.0,575.0
978067464484,0674644840,origins of the modern mind,Three Stages in the Evolution of Culture and Cognition,merlin donald,medical,this bold and brilliant book asks the ultimate question of life sciences how did the human mind acquire its incomparable power origins of the modern mind traces the evolution of human culture and cognition from primitive apes to the era of artificial intelligence and presents an original theory of how the human mind evolved from its presymbolic form illustrated with line drawings,1991.0,4.17,424.0,88.0
978067467377,0674673778,playing in the dark,Whiteness and the Literary Imagination,toni morrison,literary criticism,examines the effect of a racially divided society on ninteenth century american writings and discusses works by poe hawthorne melville and twain,1992.0,4.22,110.0,3428.0
978067470559,0674705599,the principles of psychology,"The principles of psychology / William James. Notes, appendixes, apparatus, general index",william james,psychology,presents an authoritative new edition of the classic text that corrects hundreds of errors and incorporates all of the changes james made in the eight printings he supervised along with revisions and new material the author added to his own annotated copy,1981.0,4.18,1376.0,3.0
978067477770,0674777700,the roman empire,,colin michael wells,history,offers a history of the roman empire from 44 bc to ad 235,1995.0,3.58,384.0,101.0
978067480280,0674802802,sex and reason,,richard a posner,law,explores the complex history of human sexuality from ancient greece to modern sweden and contends that although sexual drives and orientations are biological in nature much of individual sexuality is determined through selfinterested choices,1994.0,3.9,458.0,74.0
978067482106,0674821068,sor juana or the traps of faith,,octavio paz,literary criticism,a life of the seventeenthcentury poet intellectual and feminist who became a nun and eventually gave up secular learning places her in her times and in spanish intellectual tradition and examines the contradictions in her personality,1988.0,4.21,547.0,41.0
978067482426,0674824261,sources of the self,The Making of the Modern Identity,charles taylor,philosophy,discusses contemporary notions of the self and examines their origins development and effects,1989.0,4.19,624.0,1303.0
978067489199,0674891996,times arrow times cycle,Myth and Metaphor in the Discovery of Geological Time,stephen jay gould,science,examines scientific theories pertaining to the measurement of earths history,1987.0,3.92,240.0,311.0
978067494052,0674940520,the visible hand,,alfred d chandler jr,business  economics,examines the processes of production and distribution in the us and the ways in which their management has become increasingly systematized,1977.0,3.99,624.0,208.0
978067495401,0674954017,wittgenstein on rules and private language,An Elementary Exposition,saul a kripke,philosophy,in this book saul kripke brings his powerful philosophical intelligence to bear on wittgensteins analysis of the notion of following a rule,1982.0,4.01,160.0,846.0
978067496187,0674961870,the world the text and the critic,,edward w said,literary criticism,argues that contemporary critics force works of literature to fit their theories and examines the impact of marxism linguistics psychoanalysis and structuralism on literary criticism,1983.0,4.19,336.0,194.0
978067499033,0674990331,de officiis,C. Philosophical Treatises,marcus tullius cicerowalter miller,fiction,cicero marcus tullius 10643 bce roman lawyer orator politician and philosopher of whom we know more than of any other roman lived through the stirring era which saw the rise dictatorship and death of julius caesar in a tottering republic in his political speeches especially and in his correspondence we see the excitement tension and intrigue of politics and the part he played in the turmoil of the time of about 106 speeches delivered before the roman people or the senate if they were political before jurors if judicial 58 survive a few of them incompletely in the fourteenth century petrarch and other italian humanists discovered manuscripts containing more than 900 letters of which more than 800 were written by cicero and nearly 100 by others to him these afford a revelation of the man all the more striking because most were not written for publication six rhetorical works survive and another in fragments philosophical works include seven extant major compositions and a number of others and some lost there is also poetry some original some as translations from the greek the loeb classical library edition of cicero is in twentynine volumes,1975.0,3.95,448.0,104.0
978067499046,0674990463,metamorphoses,In Two Volumes,publius ovidius naso dichter,mythology classical,,1984.0,4.42,496.0,757.0
978067499047,0674990471,metamorphoses,,ovid,science,ovid publius ovidius naso 43 bce17 ce born at sulmo studied rhetoric and law at rome later he did considerable public service there and otherwise devoted himself to poetry and to society famous at first he offended the emperor augustus by his ars amatoria and was banished because of this work and some other reason unknown to us and dwelt in the cold and primitive town of tomis on the black sea he continued writing poetry a kindly man leading a temperate life he died in exile ovids main surviving works are the metamorphoses a source of inspiration to artists and poets including chaucer and shakespeare the fasti a poetic treatment of the roman year of which ovid finished only half the amores love poems the ars amatoria not moral but clever and in parts beautiful heroides fictitious love letters by legendary women to absent husbands and the dismal works written in exile the tristia appeals to persons including his wife and also the emperor and similar epistulae ex ponto poetry came naturally to ovid who at his best is lively graphic and lucid the loeb classical library edition of ovid is in six volumes,1976.0,4.57,499.0,60.0
978067499184,0674991842,plato in twelve volumes,Symposium ; Gorgias. Lysis,plato,literary criticism,plato the great philosopher of athens was born in 427 bce in early manhood an admirer of socrates he later founded the famous school of philosophy in the grove academus much else recorded of his life is uncertain that he left athens for a time after socrates execution is probable that later he went to cyrene egypt and sicily is possible that he was wealthy is likely that he was critical of advanced democracy is obvious he lived to be 80 years old linguistic tests including those of computer science still try to establish the order of his extant philosophical dialogues written in splendid prose and revealing socrates mind fused with platos thought in laches charmides and lysis socrates and others discuss separate ethical conceptions protagoras ion and meno discuss whether righteousness can be taught in gorgias socrates is estranged from his citys thought and his fate is impending the apology not a dialogue crito euthyphro and the unforgettable phaedo relate the trial and death of socrates and propound the immortality of the soul in the famous symposium and phaedrus written when socrates was still alive we find the origin and meaning of love cratylus discusses the nature of language the great masterpiece in ten books the republic concerns righteousness and involves education equality of the sexes the structure of society and abolition of slavery of the six socalled dialectical dialogues euthydemus deals with philosophy metaphysical parmenides is about general concepts and absolute being theaetetus reasons about the theory of knowledge of its sequels sophist deals with notbeing politicus with good and bad statesmanship and governments philebus with what is good the timaeus seeks the origin of the visible universe out of abstract geometrical elements the unfinished critias treats of lost atlantis unfinished also is platos last work of the twelve books of laws socrates is absent from it a critical discussion of principles of law which plato thought the greeks might accept the loeb classical library edition of plato is in twelve volumes,1975.0,4.39,560.0,426.0
978067499187,0674991877,history of the peloponnesian war,In Four Volumes,thucydides,history,the peloponnesian war was really three conflicts 431 421 415 413 and 413 404 bce that thucydides was still unifying into one account when he died some time before 396 bce although unfinished and as a whole unrevised in brilliance of description and depth of insight this history has no superior,1976.0,4.28,480.0,33.0
978067499202,0674992024,hiero,Agesilaus ; Constitution of the Lacedaemonians ; Ways and Means ; Cavalry Commander ; Art of Horsemanship ; On Hunting ; Constitution of the Athenians,xenophon,electronic books,minor works by xenophon c 430c 354 bce include hiero a dialogue on government agesilaus in praise of that king constitution of lacedaemon on the spartan system ways and means on the finances of athens a manual of horsemanship the constitution of the athenians though not by xenophon is an interesting document on athenian politics xenophon ca 430 to ca 354 bce was a wealthy athenian and friend of socrates he left athens in 401 and joined an expedition including ten thousand greeks led by the persian governor cyrus against the persian king after the defeat of cyrus it fell to xenophon to lead the greeks from the gates of babylon back to the coast through inhospitable lands later he wrote the famous vivid account of this march upcountry anabasis but meanwhile he entered service under the spartans against the persian king married happily and joined the staff of the spartan king agesilaus but athens was at war with sparta in 394 and so exiled xenophon the spartans gave him an estate near elis where he lived for years writing and hunting and educating his sons reconciled to sparta athens restored xenophon to honour but he preferred to retire to corinth xenophons anabasis is a true story of remarkable adventures hellenica a history of greek affairs from 411 to 362 begins as a continuation of thucydides account there are four works on socrates collected in volume iv of the loeb xenophon edition in memorabilia xenophon adds to platos picture of socrates from a different viewpoint the apology is an interesting complement to platos account of socrates defense at his trial xenophons symposium portrays a dinner party at which socrates speaks of love and oeconomicus has him giving advice on household management and married life cyropaedia a historical romance on the education of cyrus the elder reflects xenophons ideas about rulers and government the loeb edition is in two volumes we also have his hiero a dialogue on government agesilaus in praise of that king constitution of lacedaemon on the spartan system ways and means on the finances of athens manual for a cavalry commander a good manual of horsemanship and a lively hunting with hounds the constitution of the athenians though clearly not by xenophon is an interesting document on politics at athens these eight books are collected in the last of the seven volumes of the loeb classical library edition of xenophon,1925.0,3.94,576.0,18.0
978067499218,0674992180,cicero in twentyeight volumes,,marcus tullius cicero,consuls roman,,1967.0,,,
978067499240,0674992407,epictetus,"the Discourses as reported by Arrian, the Manual, and fragments",epictetus,philosophy,these volumes contain the teachings discourses of the slavephilosopher epictetus 55 ad135 ad also included in volume 2 are fragments additional pieces from other now lost books of the discourses and the encheirdion a collection of practical precepts for stoicism which can be seen as a handbook for life,1967.0,4.35,576.0,107.0
978067499255,0674992555,the art of love and other poems,,ovid,love poetry,in the didactic poetry of face cosmetics art of love and remedies for love ovid 43 bce17 ce demonstrates abstrusity and wit his ibis is an elegiac cursepoem nux halieutica and consolatio ad liviam are poems now judged not to be by ovid,1985.0,4.02,400.0,93.0
978067499262,0674992628,plato with an english translation,,plato,philosophy ancient,,1914.0,,,
978067499480,0674994809,babrius and phaedrus,,babriusphaedrusben edwin perry,biography  autobiography,babriuss humorous and pointed fables in greek verse probably date from the first century ce from the same period come the lively fables in latin verse written by phaedrus which satirize social and political life in augustan rome,1965.0,4.31,736.0,16.0
978067499566,067499566X,,"African Americans, Jews, and American Popular Song",euripides,alcestis greek mythology,euripides of athens ca 485406 bc famous in every age for the pathos terror surprising plot twists and intellectual probing of his dramatic creations wrote nearly ninety plays of these eighteen plus a play of unknown authorship mistakenly included with his works have come down to us from antiquity in this first volume of a new loeb edition of euripides david kovacs gives us a freshly edited greek text of three plays and an accurate and graceful translation with explanatory notes alcestis is the story of a woman who agreesin order to save her husbands lifeto die in his place medea is a tragedy of revenge in which medea kills her own children as well as their fathers new wife to punish him for his desertion the volume begins with cyclops a satyr playthe only complete example of this genre to survive each play is preceded by an introduction in a general introduction kovacs demonstrates that the biographical tradition about euripidesparts of which view him as a subverter of morality religion and artcannot be relied on he argues that this tradition has often furnished the unacknowledged starting point for interpretation and that the way is now clear for an unprejudiced consideration of the plays themselves david kovacs professor of classics at the university of virginia has written widely about euripides,1994.0,4.47,464.0,30.0
978067499574,0674995740,fragmenta,,plutarcus,literary criticism,one of antiquitys greatest poets euripides ca 485406 bce has been prized in every age for the pathos terror surprising plot twists and intellectual probing of his dramatic creations here in the third volume of a new edition that is receiving much praise is the text and translation of three of his plays trojan women a play about the causes and consequences of war develops the theme of the tragic unpredictability of life iphigenia among the taurians and ion exhibit tragic themes and situations the murder of close relatives each ends happily with a joyful reunion as in the first three volumes of this edition david kovacs gives us a freshly edited greek text and an admired new translation that in the words of greece and rome is close to the greek and reads fluently and well his introduction to each play and explanatory notes offer readers judicious guidance,1999.0,3.97,528.0,27.0
978067499623,0674996232,hesiod,,hesiodtus,agriculture,,2006.0,4.03,434.0,33.0
978067697711,0676977111,never let me go,,kazuo ishiguro,boarding schoolfiction,a gothic tour de force a meditation on mortality and lost innocence a portrait of adolescence as that hinge moment in life when selfknowledge brings intimations of ones destiny,2006.0,3.81,288.0,1091.0
978067940996,0679409963,doctor faustus,,thomas mann,fiction,book jacket status not jacketed introduction by t j reed translation by h t loweporter,1992.0,4.08,580.0,86.0
978067941167,0679411674,toni morrison,,toni morrison,african americans,presents six novels by american nobel laureate toni morrisonbeloved sula jazz tar baby song of solomon and the bluest eyewhich explore the africanamerican experience in americas predominantly white culture,1994.0,3.8,229.0,389.0
978067941335,0679413359,the aeneid,,virgil,poetry,virgils poem about the adventures of aeneas after the fall of troy,1992.0,3.83,483.0,176.0
978067942025,0679420258,if on a winters night a traveler,,italo calvinowilliam weaver,fiction,ten different and thoroughly dissimilar novels intertwine as the beginning of each book interrupted at a critical moment of suspense leads into yet another novel reflecting yet another literary mode,1993.0,4.06,254.0,1412.0
978067942026,0679420266,the stranger,,albert camusmatthew ward,fiction,an ordinary man is unwittingly caught up in a senseless murder in algeria,1993.0,3.97,117.0,1041.0
978067942029,0679420290,crime and punishment,,fyodor dostoyevsky,fiction,a man must endure relentless physical and mental punishments as retribution for his act of murder,1993.0,4.2,564.0,6890.0
978067942478,0679424784,selected short stories of william faulkner,,william faulkner,fiction,from the modern librarys new set of beautifully repackaged hardcover classics by william faulkneralso available are snopes as i lay dying the sound and the fury light in august and absalom absalom william faulkner was a master of the short story most of the pieces in this collection are drawn from the greatest period in his writing life the fifteen or so years beginning in 1929 when he published the sound and the fury they explore many of the themes found in the novels and feature characters of smalltown mississippi life that are uniquely faulkners in a rose for emily the first of his stories to appear in a national magazine a straightforward neighborly narrator relates a tale of love betrayal and murder the vicious family of the snopes trilogy turns up in barn burning about a sons response to the activities of his arsonist father and jason and caddy compson two other inhabitants of faulkners mythical yoknapatawpha county are witnesses to the terrorizing of a pregnant black laundress in that evening sun these and the other stories gathered here attest to the fact that faulkner is as ralph ellison so aptly noted the greatest artist the south has produced including these stories barn burning two soldiers a rose for emily dry september that evening sun red leaves lo turnabout honor there was a queen mountain victory beyond race at morning,1993.0,4.09,320.0,1001.0
978067942895,067942895X,the complete collected poems of maya angelou,Poems (1965-1992),maya angelou,poetry,presents a definitive collection of poetry from angelous previous anthologiesjust give me a cool drink of water oh pray my wings gonna fit me well and still i rise i shall not be moved on the pulse of morning and shaker why dont you sing 50000 first printing,1994.0,4.42,273.0,7701.0
978067943136,0679431365,the sword of honour trilogy,,evelyn waugh,fiction,book jacket status jacketed this trilogy of novels about world war ii largely based on his own experiences as an army officer is the crowning achievement of evelyn waughs career its central character is guy crouchback head of an ancient but decayed catholic family who at first discovers new purpose in the challenge to defend christian values against nazi barbarism but then gradually finds the complexities and cruelties of war too much for him yet though often somber the sword of honour trilogy is also a brilliant comedy peopled by the fantastic figures so familiar from waughs early satires the deepest pleasures these novels afford come from observing a great satiric writer employ his gifts with extraordinary subtlety delicacy and human feeling for purposes that are ultimately anything but satiric,1994.0,4.24,711.0,1068.0
978067943137,0679431373,gargantua and pantagruel,,franois rabelais,fiction,a fantasy of life amongst the monks and friars of 16thcentury france which remains a satirical and comic classic rabelais espouses a positive view of life in which tolerance goodness understanding and wisdom are opposed to dogmatism pride and cruelty,1994.0,3.71,807.0,50.0
978067943404,0679434046,in the kitchen with rosie,Oprah's Favorite Recipes,rosie daley,cooking,with 50 recipes and 8 pages of fullcolor photographs by micheal mclaughlin,1994.0,3.03,142.0,752.0
978067944459,0679444599,rabbit angstrom,A Tetralogy,john updike,fiction,four novels trace the life of harry rabbit angstrom against the changing american society from the sixties to the eighties,1995.0,4.26,1520.0,1492.0
978067944608,0679446087,a fine balance,a novel,rohinton mistry,fiction,the eagerly awaited novel from the author of the awardwinning such a long journey is set in india in the mid1970s a state of internal emergency has been declared and in the days of bleakness and hope that follow four disparate people find their lives becoming unexpectedly and inextricably entwined author readings,1996.0,4.36,624.0,51.0
978067960005,0679600051,swanns way,,marcel proust,fiction,the narrator interrupts reminiscences about his childhood spent in the latenineteenthcentury france to recall the affair which a friend of the family carries on with young odette de crecy,1992.0,4.14,640.0,247.0
978067960017,0679600175,the sound and the fury,,william faulkner,fiction,depicts the troubled childhood of jason quentin caddy and benjy compson members of a southern family,1992.0,3.86,368.0,495.0
978067960112,0679601120,stars in their courses,"The Gettysburg Campaign, June-July 1863",shelby foote,history,recreates the battle of gettysburg from both the confederate and union perspectives,1994.0,4.45,304.0,1407.0
